Idx,Ratio,Train,Val,Stuff,Name,use
1,0.1576,11664,1172,1,wall,1
2,0.1072,6046,612,1,building;edifice,0
3,0.0878,8265,796,1,sky,0
4,0.0621,9336,917,1,floor;flooring,1
5,0.0480,6678,641,0,tree,0
6,0.0450,6604,643,1,ceiling,0
7,0.0398,4023,408,1,road;route,0
8,0.0231,1906,199,0,bed,0
9,0.0198,4688,460,0,windowpane;window,0
10,0.0183,2423,225,1,grass,0
11,0.0181,2874,294,0,cabinet,0
12,0.0166,3068,310,1,sidewalk;pavement,1
13,0.0160,5075,526,0,person;individual;someone;somebody;mortal;soul,2
14,0.0151,1804,190,1,earth;ground,1
15,0.0118,6666,796,0,door;double;door,0
16,0.0110,4269,411,0,table,0
17,0.0109,1691,160,1,mountain;mount,0
18,0.0104,3999,441,0,plant;flora;plant;life,0 
19,0.0104,2149,217,0,curtain;drape;drapery;mantle;pall,0
20,0.0103,3261,318,0,chair,0
21,0.0098,3164,306,0,car;auto;automobile;machine;motorcar,0
22,0.0074,709,75,1,water,0
23,0.0067,3296,315,0,painting;picture,0 
24,0.0065,1191,106,0,sofa;couch;lounge,0
25,0.0061,1516,162,0,shelf,0
26,0.0060,667,69,1,house,0
27,0.0053,651,57,1,sea,0
28,0.0052,1847,224,0,mirror,0
29,0.0046,1158,128,1,rug;carpet;carpeting,0
30,0.0044,480,44,1,field,1
31,0.0044,1172,98,0,armchair,0
32,0.0044,1292,184,0,seat,0
33,0.0033,1386,138,0,fence;fencing,0
34,0.0031,698,61,0,desk,0
35,0.0030,781,73,0,rock;stone,0
36,0.0027,380,43,0,wardrobe;closet;press,0
37,0.0026,3089,302,0,lamp,0
38,0.0024,404,37,0,bathtub;bathing;tub;bath;tub,0
39,0.0024,804,99,0,railing;rail,0
40,0.0023,1453,153,0,cushion,0
41,0.0023,411,37,0,base;pedestal;stand,0
42,0.0022,1440,162,0,box,0
43,0.0022,800,77,0,column;pillar,0
44,0.0020,2650,298,0,signboard;sign,0
45,0.0019,549,46,0,chest;of;drawers;chest;bureau;dresser,0
46,0.0019,367,36,0,counter,0
47,0.0018,311,30,1,sand,1
48,0.0018,1181,122,0,sink,0
49,0.0018,287,23,1,skyscraper,0
50,0.0018,468,38,0,fireplace;hearth;open;fireplace,0
51,0.0018,402,43,0,refrigerator;icebox,0
52,0.0018,130,12,1,grandstand;covered;stand,0
53,0.0018,561,64,1,path,1
54,0.0017,880,102,0,stairs;steps,0 
55,0.0017,86,12,1,runway,1
56,0.0017,172,11,0,case;display;case;showcase;vitrine,0
57,0.0017,198,18,0,pool;table;billiard;table;snooker;table,0
58,0.0017,930,109,0,pillow,0
59,0.0015,139,18,0,screen;door;screen,0
60,0.0015,564,52,1,stairway;staircase,0
61,0.0015,320,26,1,river,0
62,0.0015,261,29,1,bridge;span,0
63,0.0014,275,22,0,bookcase,0
64,0.0014,335,60,0,blind;screen,0
65,0.0014,792,75,0,coffee;table;cocktail;table,0
66,0.0014,395,49,0,toilet;can;commode;crapper;pot;potty;stool;throne,0
67,0.0014,1309,138,0,flower,0
68,0.0013,1112,113,0,book,0
69,0.0013,266,27,1,hill,0
70,0.0013,659,66,0,bench,0
71,0.0012,331,31,0,countertop,0
72,0.0012,531,56,0,stove;kitchen;stove;range;kitchen;range;cooking;stove,0
73,0.0012,369,36,0,palm;palm;tree,0
74,0.0012,144,9,0,kitchen;island,0
75,0.0011,265,29,0,computer;computing;machine;computing;device;data;processor;electronic;computer;information;processing;system,0
76,0.0010,324,33,0,swivel;chair,0
77,0.0009,304,27,0,boat,0
78,0.0009,170,20,0,bar,0
79,0.0009,68,6,0,arcade;machine,0
80,0.0009,65,8,1,hovel;hut;hutch;shack;shanty,0
81,0.0009,248,25,0,bus;autobus;coach;charabanc;double-decker;jitney;motorbus;motorcoach;omnibus;passenger;vehicle,0
82,0.0008,492,49,0,towel,0
83,0.0008,2510,269,0,light;light;source,0
84,0.0008,440,39,0,truck;motortruck,0
85,0.0008,147,18,1,tower,0
86,0.0008,583,56,0,chandelier;pendant;pendent,0
87,0.0007,533,61,0,awning;sunshade;sunblind,0
88,0.0007,1989,239,0,streetlight;street;lamp,0
89,0.0007,71,5,0,booth;cubicle;stall;kiosk,0
90,0.0007,618,53,0,television;television;receiver;television;set;tv;tv;set;idiot;box;boob;tube;telly;goggle;box,0
91,0.0007,135,12,0,airplane;aeroplane;plane,0
92,0.0007,83,5,1,dirt;track,0
